FID,year,X_97,Y_97,source
0,2018,172956.00,2543478.00,EMIC
1,2018,173040.00,2538130.00,EMIC
2,2018,173531.00,2539124.00,EMIC
3,2018,171101.00,2542320.00,EMIC
4,2018,172962.00,2542710.00,EMIC
5,2018,169331.00,2543750.00,EMIC
6,2018,164440.00,2545266.00,EMIC
7,2018,172544.00,2536651.00,EMIC
8,2018,177159.00,2541468.00,EMIC
9,2018,176937.00,2539141.00,EMIC
10,2018,174939.00,2543539.00,EMIC
11,2018,176904.00,2541109.00,EMIC
12,2018,182710.57,2531254.42,EMIC
13,2018,172966.87,2542471.94,EMIC
14,2018,180299.40,2496720.85,EMIC
15,2018,202521.43,2480268.54,EMIC
16,2018,194393.13,2485954.58,EMIC
17,2018,196617.06,2484245.45,EMIC
18,2018,178257.47,2500434.89,EMIC
19,2018,178460.35,2499868.98,EMIC
20,2018,172123.40,2545428.14,EMIC
21,2018,201234.62,2495620.81,EMIC
22,2018,203178.42,2513955.95,EMIC
23,2018,177925.02,2513981.79,EMIC
24,2018,202039.37,2512332.35,EMIC
25,2018,167369.96,2541731.62,EMIC
26,2018,182091.77,2534433.63,EMIC
27,2018,194822.25,2485708.17,EMIC
28,2018,188279.50,2506746.90,EMIC
29,2018,212033.59,2510728.92,EMIC
30,2018,217973.14,2507715.39,EMIC
31,2018,196539.85,2532339.72,EMIC
32,2018,175402.63,2530503.54,EMIC
33,2018,200161.32,2541450.85,EMIC
34,2018,175829.25,2513686.97,EMIC
35,2018,183566.21,2509586.79,EMIC
36,2018,176911.41,2507663.85,EMIC
37,2018,183106.42,2503377.63,EMIC
38,2018,177502.80,2513076.49,EMIC
39,2018,178073.79,2507005.58,EMIC
40,2018,200510.45,2479904.07,EMIC
41,2018,177389.63,2512097.12,EMIC
42,2018,208858.40,2475189.68,EMIC
43,2018,172871.45,2536879.85,EMIC
44,2018,175193.04,2538123.87,EMIC
45,2018,179187.68,2578115.40,EMIC
46,2018,173853.60,2537636.43,EMIC
47,2018,179661.86,2499702.30,EMIC
48,2018,177896.46,2513811.20,EMIC
49,2018,187258.59,2499428.05,EMIC
50,2018,189031.16,2493969.63,EMIC
51,2018,172873.02,2543415.39,EMIC
52,2018,175508.59,2543625.29,EMIC
53,2018,159691.84,2568797.83,EMIC
54,2018,166822.07,2550787.71,EMIC
55,2018,173438.68,2539141.42,EMIC
56,2018,189458.95,2495797.57,EMIC
57,2018,165464.96,2544332.34,EMIC
58,2018,173401.38,2540062.78,EMIC
59,2018,165849.85,2552339.58,EMIC
60,2018,169614.30,2538744.74,EMIC
61,2018,166397.62,2572641.72,EMIC
62,2018,170293.42,2535264.72,EMIC
63,2018,173422.43,2540067.32,EMIC
64,2018,184382.34,2507893.91,EMIC
65,2018,173376.44,2542194.80,EMIC
66,2018,165149.43,2550630.96,EMIC
67,2018,166835.98,2550893.72,EMIC
68,2018,173009.61,2538074.88,EMIC
69,2018,163381.04,2549410.46,EMIC
70,2018,167412.22,2549387.62,EMIC
71,2018,156814.23,2565687.85,EMIC
72,2018,167281.14,2543468.51,EMIC
73,2018,170750.35,2543728.90,EMIC
74,2018,172884.92,2562951.97,EMIC
75,2018,172252.47,2567120.11,EMIC
76,2018,173226.15,2547681.35,EMIC
77,2018,163381.04,2549410.46,EMIC
78,2018,172863.57,2541597.53,EMIC
79,2018,175869.88,2561720.62,EMIC
80,2018,173226.15,2547681.35,EMIC
81,2018,166027.17,2537421.94,EMIC
82,2018,172920.83,2547304.68,EMIC
83,2018,165741.40,2550784.33,EMIC
84,2018,167406.12,2546160.41,EMIC
85,2018,171082.59,2542329.60,EMIC
86,2018,174234.65,2517642.75,EMIC
87,2018,174203.72,2518315.75,EMIC
88,2018,165250.36,2547199.62,EMIC
